序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,深圳市龙华区博恒实验学校食堂,学校食堂（民办）,深圳市龙华区大浪街道同富邨鸿万邦科技园,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,深圳市龙华新区大浪博恒幼儿园食堂,学校食堂（民办）,深圳市龙华区大浪石观工业区茶角坎25号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,深圳市龙华新区博文学校食堂,学校食堂（民办）,深圳市龙华区福城街道观澜大道竹村15号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,深圳市龙华区金宝宝幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道新田社区新丰路3号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,深圳市龙华区腾飞世纪幼儿园食堂,学校食堂（民办）,深圳市龙华区福城街道桔塘社区章阁路15号一楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,深圳市龙华区松元幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道松元居委松元社区德胜路58号松元幼儿园一楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,深圳市龙华区企坪幼儿园食堂,学校食堂（民办）,深圳市龙华区观澜街道大坪社区桂月路3号、5号3号主楼东侧楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,深圳市龙华区三合幼儿园食堂,学校食堂（民办）,深圳市龙华区大浪街道浪口社区天通工业园门口10栋1层,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,深圳市龙华区奥德宝幼儿园食堂,学校食堂（民办）,深圳市龙华区民治街道嘉龙山庄嘉盛园8号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,深圳市龙华区妇幼保健院食堂（深圳市龙华区妇幼保健计划生育服务中心、深圳市龙华区健康教育所）,医院食堂,深圳市龙华区大浪街道华旺路68号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,深圳市龙华区中心医院食堂,医院食堂,深圳市龙华区福城街道观澜大道187号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,深圳市龙华区人民医院食堂,医院食堂,深圳市龙华区龙华街道建设东路,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,深圳市人民医院龙华分院食堂,医院食堂,深圳市龙华区龙华街道龙观东路101号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,稳健医疗用品股份有限公司食堂,800人以上食堂,深圳市龙华区龙华街道布龙路660号稳健工业园宿舍3栋1层,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,鸿富锦精密工业(深圳)有限公司J8西侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园J8栋一楼西侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,鸿富锦精密工业(深圳)有限公司B6-1F南侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园B6栋一楼南侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,鸿富锦精密工业(深圳)有限公司B6-1F北侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园B6栋一楼北侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,鸿富锦精密工业(深圳)有限公司D1a栋食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园D1a栋一楼南侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,鸿富锦精密工业（深圳）有限公司E10a-1FB区餐厅,800人以上食堂,广东省深圳市龙华新区龙华街道东环二路2号富士康科技园E10a栋1楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,鸿富锦精密工业(深圳)有限公司C1北侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园C1栋一楼北侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,鸿富锦精密工业(深圳)有限公司J1-2F食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园J1栋二楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,鸿富锦精密工业(深圳)有限公司C9栋食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园C9栋楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,鸿富锦精密工业(深圳)有限公司J2-1F东侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园J2栋一楼东侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,鸿富锦精密工业(深圳)有限公司D12-2F食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园D12栋二楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,鸿富锦精密工业(深圳)有限公司J3-2F东南侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园J3栋二楼东南侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,鸿富锦精密工业(深圳)有限公司B10南侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园B10栋一楼南侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,鸿富锦精密工业(深圳)有限公司E10A东侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园E10A栋1楼、2楼东侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,鸿富锦精密工业(深圳)有限公司B10-1F北侧食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园B10栋一楼北侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,鸿富锦精密工业(深圳)有限公司F11-3FC食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园F11栋3楼C区,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,鸿富锦精密工业(深圳)有限公司E10A-3F食堂,800人以上食堂,深圳市龙华区龙华街道东环二路2号富士康科技园E10A栋3楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,鸿富锦精密工业(深圳)有限公司J1-1F食堂,800人以上食堂,深圳市龙华新区龙华街道东环二路2号富士康科技园J1栋1楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,深圳市龙华区富康行政服务办公区食堂,800人以上食堂,深圳市龙华区龙华街道清泉路7号龙华区富康行政服务办公区1F2F,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,富泰华工业（深圳）有限公司C22-2F餐厅,800人以上食堂,深圳市龙华新区观澜街道福城章阁社区富士康科技园C22栋2楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,富泰华工业（深圳）有限公司C21-2F西侧食堂,800人以上食堂,深圳市龙华区观澜街道大三社区富士康观澜科技园B区厂房4栋、6栋、7栋、13栋（Ⅰ段）C21栋二楼西侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,富泰华工业（深圳）有限公司A11-T东侧食堂,800人以上食堂,深圳市龙华区观澜街道大三社区富士康观澜科技园A11-T栋东侧,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,富泰华工业（深圳）有限公司C23-2F食堂,800人以上食堂,深圳市龙华区观澜街道大三社区富士康观澜科技园C23栋2楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,富泰华工业（深圳）有限公司C27-1F食堂,800人以上食堂,深圳市龙华区观澜街道大三社区富士康观澜科技园C27栋1楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,富泰华工业（深圳）有限公司CKT9食堂,800人以上食堂,深圳市龙华新区观澜街道福城章阁社区富士康观澜科技园B31-T栋,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,富顶精密组件(深圳)有限公司食堂二期,800人以上食堂,深圳市龙华区观澜街道大水坑社区观光路以南宝源科技园C5-6栋一楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,富顶精密组件(深圳)有限公司食堂,800人以上食堂,深圳市龙华区观澜街道大水坑社区观光路以南宝源科技园C3-4栋一楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,深圳市龙华区簕杜鹃幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道旭玫新村邮局宿舍大院内28号三楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,深圳市龙华区美嘉幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道新田社区牛轭岭新村73号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,深圳市龙华区博蕾新田幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道金龙湖社区新湖南街2000029号一楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,深圳市龙华区爱孚实验学校食堂,学校食堂（民办）,深圳市龙华区观澜街道牛湖社区大水田B区,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,深圳市龙华区广培小学附属茗语华苑幼儿园食堂,学校食堂（公办）,深圳市龙华区观澜街道黎光社区金光大道001号茗语华苑小区内,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,深圳市龙华区童话林幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道新田社区新丰工业区25号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,深圳市龙华区观湖宝文幼儿园食堂,学校食堂（民办）,深圳市龙华区观湖街道安澜大道1100034号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,深圳市龙华区新澜幼儿园食堂,学校食堂（民办）,深圳市龙华区观澜街道众安街25号新澜幼儿园,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,深圳市龙华区国育第五幼儿园食堂,学校食堂（民办）,深圳市龙华区民治街道上塘社区龙发路147号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,深圳市龙华区皓月幼儿园食堂,学校食堂（公办）,深圳市龙华区民治街道民康路皓月花园内,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,深圳市龙华高级中学观澜校区食堂,学校食堂（公办）,深圳市龙华区观澜街道 观光路1222号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,深圳市龙华区第二实验学校附属鸿创幼儿园食堂,学校食堂（公办）,深圳市龙华区龙华街道 鸿创路与鸿荣路交汇处壹成中心花园一期2栋,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,深圳市龙华区鹭湖外国语小学附属祥澜苑幼儿园,学校食堂（公办）,深圳市龙华区观湖街道求知南路西侧祥澜苑小区内,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,深圳市龙华区东方君逸幼儿园食堂,学校食堂（民办）,深圳市龙华区观澜街道 黎光社区新围200号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,甜橙花（深圳）餐饮服务有限责任公司,集体用餐配送单位,深圳市龙华区观澜街道新澜社区新澜大街91号1012,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,深圳市银轩发展有限公司,大型餐馆，网络经营,深圳市龙华区民治街道 人民北路31号银轩酒店,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,深圳探鱼餐饮管理有限公司第二十七分店,中型餐馆，网络经营,深圳市龙华区民治街道民泰社区星河盛世一层L15-037A,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,深圳探鱼餐饮管理有限公司第二十三分店,中型餐馆，网络经营,深圳市龙华区人民路壹方天地A区负一层B1-043号商铺,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,深圳市誉兴饮食管理有限公司,集体用餐配送单位，餐饮管理企业,深圳市龙华区龙华街道富康社区东环二路2号富士康工业园集体中央餐厅1层，3层，4层；龙华街道油松社区誉兴集团A区3层,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,深圳探鱼餐饮管理有限公司第三十六分店,中型餐馆，网络经营,深圳市龙华区民治街道民新社区华南物流8号仓L311奥特莱斯三楼L311,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,深圳欧克咖啡餐饮管理有限公司龙华供应链中心,餐饮服务经营者（中央厨房）,深圳市龙华区龙华街道清湖社区清祥路23号德信昌科技园B栋4层405,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,深圳市誉兴饮食管理有限公司,餐饮服务经营者（中央厨房）,深圳市龙华区福城街道福城章阁社区富士康观澜科技园B31-T栋,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,深圳市喜宴又一村餐饮管理有限公司,餐饮服务经营者（大型餐馆）,深圳市龙华区龙华街道景龙社区壹城中心2栋L2-005,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,深圳市宝安区龙华龙苑酒楼,餐饮服务经营者（大型餐馆）,深圳市龙华区龙华街道东环二路东和花园综合楼,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,深圳市芳州餐饮管理有限责任公司,餐饮服务经营者（大型餐馆，网络经营）,深圳市龙华区民治街道民新社区碧水龙庭1栋203,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,深圳市百岁村餐饮连锁有限公司民治店,餐饮服务经营者（大型餐馆、网络经营）,深圳市龙华区民治街道民治大道龙华工区综合楼主楼1－2层,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,深圳市百岁村餐饮连锁有限公司深圳北站店,餐饮服务经营者（大型餐馆、网络经营）,深圳市龙华区民治街道深圳北站西广场B1b酒店—102号,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,佛山南海天胜稻香饮食有限公司龙华九方分公司,餐饮服务经营者（大型餐馆，网络经营）,深圳市龙华区民治街道人民路2020号龙华九方购物中心L210+L211号商铺,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,深圳市银轩发展有限公司,餐饮服务经营者（大型餐馆，网络经营）,深圳市龙华区民治街道人民北路31号银轩酒店,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,新派（上海）餐饮管理有限公司深圳民塘路分公司,食品销售经营者（其他食品经营者，网络经营）、餐饮服务经营者（大型餐馆，网络经营）,深圳市龙华区民治街道民塘路书香门第上河坊广场一层1158、1159、1160、1161、1163B号商铺,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,深圳市华星圣丰城酒楼,餐饮服务经营者（大型餐馆，网络经营）,深圳市龙华区民治街道梅龙大道星河盛世商场L2S-012,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,深圳市龙华区教科院附属小学文澜苑幼儿园,学校食堂,深圳市清湖观澜大和路与环观南路交汇处文澜苑幼儿园,龙华区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,深圳市坪山区大宝幼儿园食堂,学校食堂（民办）,深圳市坪山区龙田石田路13号,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,深圳市宝山技工学校（二食堂）,学校食堂（民办）,深圳市坪山区坪山街道深汕路63号宝山学校11栋,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,深圳市坪山区华明星学校食堂,学校食堂（民办）,深圳市坪山区坑梓秀新东路8号,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,深圳市坪山区第一幼教集团（第九分园食堂）,学校食堂（公办）,深圳市坪山区龙田街道 金牛东路与翠景路交汇处西南侧教学楼一楼,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,深圳市新产业生物医学工程股份有限公司,单位食堂,深圳市坪山区坑梓街道金沙社区锦绣东路二十三号,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,深圳市坪山区弘金地学校（食堂）,学校食堂（民办）,深圳市坪山区马峦街道体育一路,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,深圳市坪山区第二外国语学校（食堂）,学校食堂（公办）,马峦街道均田二路1号,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,深圳市坪山新区坪山实验学校（东校区食堂）,学校食堂（公办）,深圳市坪山区坪山街道 兰竹西路与新和四路交汇处,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,深圳市坪山区龙山学校食堂,学校食堂（民办）,深圳市坪山区坪山街道深汕路89号食堂2楼,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,深圳市坪山区龙山幼儿园,学校食堂（民办）,深圳市坪山新区坪山办事处六和社区深汕路49号1、2楼,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,深圳市坪山区燕子岭幼儿园食堂,学校食堂（民办）,深圳市坪山区龙田街道燕子岭生活区五栋1、2层,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,深圳市龙翔学校（食堂）,学校食堂（民办）,深圳市坪山区坪山街道办事处沙坣社区沙新路68号,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,深圳市坪山区龙背小学食堂,学校食堂（民办）,深圳市坪山区坪山办事处龙背村,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,深圳市坪山区新沙田幼儿园(食堂),学校食堂（民办）,深圳市坪山区新康二路与坑梓彩田路交叉路口往北约50米,坪山区,2020年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
