序号,单位名称,类别,地址,辖区,评级时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,深圳市澳葡街餐饮管理有限公司天安店,其他餐饮,深圳市福田区深南西路天安数码时代大厦201单元裙楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,百胜餐饮（广东）有限公司深圳必胜客北方大厦餐厅,连锁餐饮,深圳市福田区深南中路北方大厦1-2层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,百胜餐饮(广东)有限公司深圳必胜客东方雅苑餐厅,连锁餐饮,深圳市福田区福民路东方雅苑裙楼首层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,百胜餐饮（深圳）有限公司肯德基金田餐厅,连锁餐饮,深圳市福田区福民路与金田路交汇处福民佳园一楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,深圳金拱门食品有限公司潮流前线分店,连锁餐饮,深圳市福田区深南路与中航路交汇处潮流前线地铁商场地下一二层的部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,深圳金拱门食品有限公司怡景中心城分店,连锁餐饮,深圳市福田区福华路大中华交易广场西侧怡景中心城G层FG002号商铺,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,深圳金拱门食品有限公司金田分店,连锁餐饮,深圳市福田区金田南路嘉意台首层北侧,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,深圳面点王饮食连锁有限公司（中心城分店）,连锁餐饮,深圳市福田区福华一路新怡景商业中心G层FG005号铺位,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,深圳面点王饮食连锁有限公司上步分店,连锁餐饮,深圳市福田区深南路与中航路交汇处潮流前线地铁商场地下一层西侧部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,百胜餐饮(深圳)有限公司肯德基华强餐厅,连锁餐饮,深圳市福田区华强北路2001号深纺大厦AB座1-4层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,百胜餐饮(深圳)有限公司肯德基振兴餐厅,连锁餐饮,深圳市福田区华强北路上步工业区105栋二层部分,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,百胜餐饮（深圳）有限公司肯德基振华餐厅,连锁餐饮,深圳市福田区华强北路振华路口华联发大厦1、2层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,百胜餐饮(广东)有限公司深圳必胜客振华餐厅,连锁餐饮,深圳市福田区振华路华联发大厦二楼东座,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,深圳金拱门食品有限公司华强北分店,连锁餐饮,深圳市福田区华强北上步工业区102栋（儿童世界）部分一层、部分二层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,深圳金拱门食品有限公司长安分店,连锁餐饮,深圳市福田区百花四路长安花园首层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,百胜餐饮（广东）有限公司（深圳必胜客深国投餐厅）,连锁餐饮,深圳市福田区农林路与侨香路交界口深国投广场01-14/15A和02-07A,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,深圳金拱门食品有限公司东海分店,连锁餐饮,深圳市福田区红荔西路南侧东海购物广场101之101号铺,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,深圳面点王饮食连锁有限公司广场分店,连锁餐饮,深圳市福田区农林路与侨香路交界口深国投广场#B1-34B,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,百胜餐饮（广东）有限公司深圳必胜客城市广场餐厅,连锁餐饮,深圳市福田区深南中路城市广场二楼2001号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,深圳金拱门食品有限公司上步分店,连锁餐饮,深圳市福田区深南中路七十九号华垦大厦一楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,深圳金拱门食品有限公司红荔西分店,连锁餐饮,深圳市福田区红荔西路现代演艺中心首层北角,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,深圳金拱门食品有限公司景田分店,连锁餐饮,深圳市福田区莲花路金色家园第一层107号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,百胜餐饮(深圳)有限公司肯德基景田餐厅,连锁餐饮,深圳市福田区红荔西路景田南四街香蜜三村五号裙楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,百胜餐饮（深圳）有限公司肯德基花好园餐厅,连锁餐饮,深圳市福田区下沙村东涌路花好园岁宝百货一层A001,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,深圳金拱门食品有限公司天安数码城分店,连锁餐饮,深圳市福田区深南西路车公庙工业区天安数码时代大厦主楼102单元的103-1号商73铺,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,深圳金拱门食品有限公司新洲绿景花园分店,连锁餐饮,深圳市福田区福强路3018号绿景花园二期二层编号：X2-B,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,百胜餐饮(深圳)有限公司肯德基天安餐厅,连锁餐饮,深圳市福田区深南西路天安科技服务中心B座101单元,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,百胜餐饮(广东)有限公司深圳必胜客梅林餐厅,连锁餐饮,深圳市福田区梅林一村一区家乐福超市首层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,深圳金拱门食品有限公司梅华分店,连锁餐饮,深圳市福田区梅华路梅沁楼首层西侧,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,深圳市面点王饮食连锁有限公司兴华分店,连锁餐饮,深圳市福田区燕南路2号豪宫大厦1楼大门右侧第1个铺位,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,深圳市面点王饮食连锁有限公司书城分店,连锁餐饮,深圳市福田区书城中心城夹层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,深圳面点王饮食连锁有限公司福民分店,连锁餐饮,深圳市福田区金田路宣嘉华庭二层群楼,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,深圳外国语学校食堂（初中部）,学校食堂,深圳市福田区红荔路2005号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,深圳实验学校食堂（中学部师生食堂）,学校食堂,深圳市福田区百花六路4号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,深圳实验学校食堂（初中部食堂）,学校食堂,深圳市福田区红荔路43号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,深圳市高级中学食堂（北校食堂）,学校食堂,深圳市福田区香密湖农园路农科中心内,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,深圳市高级中学食堂（师生食堂）,学校食堂,深圳市福田区香密湖农园路,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,深圳实验学校食堂（小学部师生食堂）,学校食堂,深圳市福田区红荔路2006号实验学校小学部旧楼二、三层,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,深圳市机关第二幼儿园食堂,学校食堂,深圳市福田区通心岭同福路,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,深圳市机关第三幼儿园(十三区)食堂：,学校食堂,深圳市福田区梅林一村十三区西,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,深圳市机关第三幼儿园（十二区）食堂：,学校食堂,深圳市福田区梅林一村十二区西,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,深圳市机关第四幼儿园食堂,学校食堂,深圳市福田区园岭二街1号,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,深圳市机关第七幼儿园食堂,学校食堂,深圳市福田区莲花三村内,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,深圳市第八幼儿园食堂（师生食堂）,学校食堂,深圳市福田区益田村高层住宅117栋前,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,深圳市第九幼儿园食堂（师生食堂）,学校食堂,深圳市福田区莲花北村住宅区,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,深圳市南华幼儿园食堂,学校食堂,深圳市福田区下步庙北区32栋,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,深圳市莲花北幼儿园食堂,学校食堂,深圳市福田区莲花北村,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,深圳银鹰第一幼儿园食堂,学校食堂,深圳市福田区白沙岭南天大厦5-6栋之间,福田区,2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
